tree	group	V1	V2	V3	V4	V5	V6
classic1_STATE_500000000	classic1	-39.6037066005934	8.29782958320651	-29.2740513049233	2.0639750329	15.5438649185909	-15.5838541975324
classic1_STATE_501670000	classic1	-30.9149514733941	19.4485593031004	10.890933105635	2.0415598015559	5.02574094578038	7.97284570446064
classic1_STATE_503340000	classic1	-39.7170638211703	18.6629732017397	-12.5580079639129	-23.6241404841672	-22.6494438143249	-16.0972766563765
classic1_STATE_505020000	classic1	-29.1836949000759	14.4343164602491	-21.1937751370393	-18.9239989861011	-18.1400421796295	-38.218039443196
classic1_STATE_506690000	classic1	-46.317598868166	18.4691423887005	4.28723113352103	-6.90879470659761	6.31795456813483	11.162723430062
classic1_STATE_508360000	classic1	-46.411293874651	20.2870996665055	1.22240846792784	10.412929770274	15.6165513654092	-20.8808953914248
classic1_STATE_510030000	classic1	-17.9105481197083	-25.053361291035	26.98015418032	-3.99695580650919	2.44071283566803	20.1109077764402
classic1_STATE_511710000	classic1	-10.2455771026615	-24.7109085541618	-18.7351201402071	-14.8459393544996	-4.83923891635962	14.3768560006308
classic1_STATE_513380000	classic1	-32.0014909164547	-3.43781035588932	17.66712151836	38.0635217602443	-3.49463106930168	-0.434106248575174
classic1_STATE_515050000	classic1	-16.1012234698203	-41.6573982600371	2.79282436493898	21.2618137786024	-11.9673417512344	24.3253840225512
classic1_STATE_516720000	classic1	-11.3212818664461	-19.0666492276092	36.7036595459485	-20.6915312083854	-22.4668636823845	-2.65564223920806
classic1_STATE_518390000	classic1	-10.1657420164062	-35.0535593898367	22.8845965392464	-12.8590015922834	-6.65424261166229	3.64372440516129
classic1_STATE_520070000	classic1	-16.6925520386922	-21.9962095721035	-17.9439818971756	14.2141862444554	-20.8384755380226	19.1429809609927
classic1_STATE_521740000	classic1	-29.8677158490526	-2.96212570649072	-20.5436154330617	-6.67159328142063	17.0400180800679	-10.3524074146797
classic1_STATE_523410000	classic1	-23.8635039294559	7.01693829608084	-18.5132259316122	-12.3472773455231	3.43418794325702	19.3001195522125
classic1_STATE_525080000	classic1	-28.7542058818703	9.72600657794437	5.95759736305556	29.978465451749	-8.42987945700206	8.86182069041821
classic1_STATE_526760000	classic1	-28.8346201647606	-18.5798089135466	2.29902609768224	-4.51599658289611	14.9640040195969	1.84914477993781
classic1_STATE_528430000	classic1	-30.9950293358907	14.6128218913074	-26.2316735774388	-8.81551164686136	5.48035886445581	-7.53016613571508
classic1_STATE_530100000	classic1	-27.7840163044564	7.69282243980538	11.3610289951237	-1.36423132799622	4.237480711326	11.2134250923052
classic1_STATE_531770000	classic1	-34.2838190863127	17.8438195364644	-21.7072282416316	-15.0066872923059	-4.38564591673294	9.44244761549149
classic1_STATE_533440000	classic1	-38.8751927446186	20.4538605707216	13.1575049700192	-5.1895517781121	3.57987935182023	15.3659300356786
classic1_STATE_535120000	classic1	-23.9399016402716	16.1124993591196	-24.758641396745	-18.2120462807879	2.180432963973	13.1650051431172
classic1_STATE_536790000	classic1	-32.8811461235443	23.3080129794187	16.0100530312094	-17.7227329433283	-27.2636805866437	-18.283312350093
classic1_STATE_538460000	classic1	-45.1864470090114	6.70046228072967	-13.6884973843659	-27.5241633483953	-29.1569385197559	-13.6518395765598
classic1_STATE_540130000	classic1	-33.1907563112188	24.4697485492066	-21.361011043749	-20.3261818744498	2.78584506418576	10.8166843204091
classic1_STATE_541810000	classic1	-31.9046131995339	2.56222121103155	-36.9720749380194	12.8560223185051	-23.1808368655721	20.5911858913133
classic1_STATE_543480000	classic1	-37.5957089827917	31.6266822094146	9.93870268626171	-6.35411875670758	2.44205720661339	12.8776329395885
classic1_STATE_545150000	classic1	-47.3617322539298	24.6324231132948	4.08078736082093	-2.22775341981715	6.14678276345296	3.80651456072726
classic1_STATE_546820000	classic1	-18.3890622605677	28.6616976092589	14.0312202643022	-8.55812104557483	2.1584239542592	9.00214134602958
classic1_STATE_548490000	classic1	-30.1404818229543	15.0294734605159	8.57807721575712	33.3068731926165	-13.2017895797067	21.9511629640285
classic1_STATE_550170000	classic1	-31.3119689187108	23.6333092206937	12.4396715391524	-16.3507208984146	-25.2184956683552	-11.0208394427697
classic1_STATE_551840000	classic1	-25.2572300364628	23.0464386344786	-6.35487329488069	-11.462593148355	1.6330618233426	11.2052154281781
classic1_STATE_553510000	classic1	-26.7838532297863	5.79724548000275	-21.4954312999622	5.26945616820607	-42.9095856935941	-5.81676610301297
classic1_STATE_555180000	classic1	-34.3505436500579	10.6296911680843	-26.4913547873004	-11.8821085044423	4.96013105815472	8.20507845020461
classic1_STATE_556860000	classic1	-21.5605714308593	-11.1515341642824	18.5855911993909	1.18370206324487	12.3754425595319	-18.6447479316201
classic1_STATE_558530000	classic1	-28.5092265977676	14.6086784285038	12.8659872028253	-1.45874415867187	12.5136767653072	-14.3718153308227
classic1_STATE_560200000	classic1	-22.9030676990625	6.12233204097179	-40.5529138360821	25.2427562717564	-2.42139165606963	9.38736092915541
classic1_STATE_561870000	classic1	-22.7568768054688	24.4054337537354	7.70629699425281	3.70005038551497	21.5792270135373	-14.4623129700749
classic1_STATE_563550000	classic1	-35.8816181088257	20.2862952065274	13.665137131862	25.8774247883787	-23.8272158121191	-36.5004221417943
classic1_STATE_565220000	classic1	-48.191521897531	-12.2948959137535	16.3826620572839	39.267187745034	-7.34823472119105	-6.87464417940226
classic1_STATE_566890000	classic1	-36.2393830772408	32.3729567841399	11.0870057057235	-3.9056432150178	0.356449602303825	10.4266700910989
classic1_STATE_568560000	classic1	-32.684052653054	28.1567093926647	11.8953537314138	-6.53873714657882	9.26277219341315	8.16050311605479
classic1_STATE_570230000	classic1	-38.4832524214554	21.706702491474	9.09036093396058	0.023440843061686	9.33621865429438	6.34648877171534
classic1_STATE_571910000	classic1	-34.2741080615049	22.7668566736844	21.4269454731622	-8.69178599851047	12.3719002434224	17.1612536479465
classic1_STATE_573580000	classic1	-35.5949689104092	16.9127481471688	-9.35789849932098	14.0675763509204	-45.206367050846	-12.864678527364
classic1_STATE_575250000	classic1	-47.0934550335545	-12.7717770807774	19.7123430990878	25.9981715823499	-15.331161437181	14.3524431011234
classic1_STATE_576920000	classic1	-39.6657624021603	23.9523681102248	-19.7317478127718	-9.41588334906593	8.30189925473602	9.40865112743989
classic1_STATE_578600000	classic1	-43.1947326888033	30.0253129961457	9.27349911728045	20.5543156887777	-42.184546711789	-12.391045495352
classic1_STATE_580270000	classic1	-41.8777429836928	21.8516263331813	11.6011826848925	-24.5977646043338	-20.1926016264586	-13.5948440007897
classic1_STATE_581940000	classic1	-33.9920497466903	-4.731116144673	22.4115951681664	-10.6004123117757	1.73091388691384	0.566813443653621
classic1_STATE_583610000	classic1	-38.6771319267174	15.016533680165	10.0673272711648	0.585256972367489	4.34163980499482	-27.8210943449483
classic1_STATE_585280000	classic1	-26.6455669101378	8.51539382481292	17.7268460696809	-9.9581176673745	-5.47740092443688	-33.3762274745287
classic1_STATE_586960000	classic1	-35.8513805408667	19.8823922072075	5.32290339083518	-0.587681282471559	2.32221665971727	15.8932660748967
classic1_STATE_588630000	classic1	-36.1801357622254	7.00746810336093	-33.1005008116536	-17.9195508568233	-5.04770215662897	13.622175630902
classic1_STATE_590300000	classic1	-37.4614483675283	31.6765716022478	13.1851118173837	-9.39736163298503	2.44042555424545	14.3760032903801
classic1_STATE_591970000	classic1	-50.6025753568382	16.276237039601	11.3145117615479	1.89909818665289	10.2667966826152	-7.53912524759696
